0.00.283.122 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.284.713 I srv    load_model: loading model '$HOME/models/dgx_bundle/qwen-nvfp4-gguf/q36-35b-a3b-nvfp4.gguf'
0.10.164.554 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 131072, kv_unified = 'true'
0.10.525.250 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.10.525.286 I srv  llama_server: model loaded
0.10.525.289 I srv  llama_server: listening on http://127.0.0.1:8890
0.20.067.281 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.20.067.351 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.20.462.893 I slot print_timing: id  3 | task 0 | prompt eval time =     292.54 ms /    11 tokens (   26.59 ms per token,    37.60 tokens per second)
0.20.462.900 I slot print_timing: id  3 | task 0 |        eval time =     102.55 ms /     8 tokens (   12.82 ms per token,    78.01 tokens per second)
0.20.462.900 I slot print_timing: id  3 | task 0 |       total time =     395.08 ms /    19 tokens
0.20.462.903 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.20.462.914 I slot print_timing: id  3 | task 0 | draft acceptance = 1.00000 (    6 accepted /     6 generated), mean len =  7.00
0.20.462.960 I slot      release: id  3 | task 0 | stop processing: n_tokens = 18, truncated = 0
0.20.531.942 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.167
0.20.575.811 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.20.771.253 I slot print_timing: id  3 | task 4 | prompt eval time =     130.62 ms /    15 tokens (    8.71 ms per token,   114.83 tokens per second)
0.20.771.258 I slot print_timing: id  3 | task 4 |        eval time =      64.37 ms /     2 tokens (   32.18 ms per token,    31.07 tokens per second)
0.20.771.258 I slot print_timing: id  3 | task 4 |       total time =     194.99 ms /    17 tokens
0.20.771.259 I slot print_timing: id  3 | task 4 |    graphs reused =          1
0.20.771.271 I slot print_timing: id  3 | task 4 | draft acceptance = 1.00000 (    4 accepted /     4 generated), mean len =  5.00
0.20.771.298 I slot      release: id  3 | task 4 | stop processing: n_tokens = 20, truncated = 0
0.20.787.480 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.136 (> 0.100 thold), f_keep = 0.150
0.20.831.638 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
0.21.628.273 I slot print_timing: id  3 | task 8 | prompt eval time =     239.28 ms /    22 tokens (   10.88 ms per token,    91.94 tokens per second)
0.21.628.277 I slot print_timing: id  3 | task 8 |        eval time =     556.90 ms /    26 tokens (   21.42 ms per token,    46.69 tokens per second)
0.21.628.278 I slot print_timing: id  3 | task 8 |       total time =     796.17 ms /    48 tokens
0.21.628.279 I slot print_timing: id  3 | task 8 |    graphs reused =          9
0.21.628.291 I slot print_timing: id  3 | task 8 | draft acceptance = 1.00000 (   13 accepted /    13 generated), mean len =  3.60
0.21.628.326 I slot      release: id  3 | task 8 | stop processing: n_tokens = 50, truncated = 0
0.21.644.533 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.440
0.21.680.725 I slot launch_slot_: id  3 | task 26 | processing task, is_child = 0
0.22.362.995 I slot print_timing: id  3 | task 26 | prompt eval time =      38.65 ms /     4 tokens (    9.66 ms per token,   103.51 tokens per second)
0.22.362.999 I slot print_timing: id  3 | task 26 |        eval time =     643.17 ms /    30 tokens (   21.44 ms per token,    46.64 tokens per second)
0.22.363.000 I slot print_timing: id  3 | task 26 |       total time =     681.82 ms /    34 tokens
0.22.363.001 I slot print_timing: id  3 | task 26 |    graphs reused =         16
0.22.363.013 I slot print_timing: id  3 | task 26 | draft acceptance = 1.00000 (   16 accepted /    16 generated), mean len =  3.00
0.22.363.040 I slot      release: id  3 | task 26 | stop processing: n_tokens = 55, truncated = 0
0.22.372.839 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.400
